"","Country.or.region","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","College.Count","mean_overall_rank <- mean(scores_overall_rank)","mean_scores_teaching_rank <- mean(scores_teaching_rank)","mean.scores.research <- mean(scores_research)","mean_scores_research_rank <- mean(scores_research_rank)","mean_scores_citation_rank <- mean(scores_citations_rank)","mean_industry_income <- mean(scores_industry_income)","mean_international_outcome_rank <- mean(scores_international_outlook_rank)","Has.Top.College","College.Ranking.Happiness.Ranking.Ratio","College.Ranking.to.GDP","College.Ranking.to.SocialSupport","College.Ranking.to.life","College.Ranking.to.freedom","College.Ranking.to.generosity","College.Ranking.to.corruption","Research.to.GDP","Research.to.Social","Research.to.Life","Research.to.Freedom","Research.to.Generosity","Research.to.Corruption"
"60","Kazakhstan",60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,2,9665,688.5,8.5,1152,1093,38.35,449.5,TRUE,1663.7975555173,8239.55669224211,6409.15119363395,13257.8875171468,23573.1707317073,66198.6301369863,100677.083333333,7.2463768115942,5.63660477453581,11.6598079561043,20.7317073170732,58.2191780821918,88.5416666666667
"61","Bolivia",61,5.779,0.776,1.209,0.706,0.511,0.137,0.064,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Hungary",62,5.758,1.201,1.41,0.828,0.199,0.081,0.02,7,7672.85714285714,906.428571428571,13.1285714285714,881.142857142857,749.285714285714,38.2285714285714,494.714285714286,TRUE,1332.55594700541,6388.72368264541,5441.74265450861,9266.73567977916,38557.0710696339,94726.6313932981,383642.857142857,10.931366718211,9.31104356636271,15.855762594893,65.9727207465901,162.081128747795,656.428571428571
"63","Paraguay",63,5.743,0.855,1.475,0.777,0.514,0.184,0.08,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Northern Cyprus",64,5.718,1.263,1.252,1.042,0.417,0.191,0.162,1,6460,941,14.6,778,601,34,141,TRUE,1129.76565232599,5114.80601741884,5159.74440894569,6199.61612284069,15491.6067146283,33821.9895287958,39876.5432098765,11.5597783056215,11.6613418530351,14.0115163147793,35.0119904076739,76.4397905759162,90.1234567901235
"65","Peru",65,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2,7585,989.5,9.7,1072.5,465,34.5,550,TRUE,1331.40249253993,7901.04166666667,5953.68916797488,8881.73302107728,16670.3296703297,91385.5421686747,280925.925925926,10.1041666666667,7.6138147566719,11.3583138173302,21.3186813186813,116.867469879518,359.259259259259
"66","Portugal",66,5.693,1.221,1.431,0.999,0.508,0.047,0.025,13,6328.46153846154,764.923076923077,19.4230769230769,653.538461538462,638.461538461538,39.2384615384615,521.307692307692,TRUE,1111.62155954006,5183.01518301518,4422.40498844272,6334.79633479633,12457.6014536644,134648.117839607,253138.461538462,15.9075159075159,13.5730796108155,19.4425194425194,38.2344033918837,413.256955810147,776.923076923077
"67","Pakistan",67,5.653,0.677,0.886,0.535,0.313,0.22,0.098,9,10071.1111111111,1108.22222222222,9.71111111111111,1085.77777777778,979.888888888889,34.5666666666667,758,TRUE,1781.55158519567,14876.0873133104,11366.9425633308,18824.5067497404,32176.0738374157,45777.7777777778,102766.439909297,14.3443295585098,10.9606220215701,18.1516095534787,31.0259140930067,44.1414141414141,99.0929705215419
"68","Russia",68,5.648,1.183,1.452,0.726,0.334,0.082,0.031,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Philippines",69,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2,7135,891.5,13.6,853,610.5,34.9,758,TRUE,1267.09287870716,8841.38785625774,5518.17478731632,10859.9695585997,12786.7383512545,60982.905982906,66682.2429906542,16.8525402726146,10.5181747873163,20.7001522070015,24.3727598566308,116.239316239316,127.102803738318
"70","Serbia",70,5.603,1.004,1.383,0.854,0.282,0.137,0.039,1,8280,848,18.1,649,830,40.1,750,TRUE,1477.77976084241,8247.01195219123,5986.98481561822,9695.55035128806,29361.7021276596,60437.9562043796,212307.692307692,18.0278884462151,13.0874909616775,21.1943793911007,64.1843971631206,132.116788321168,464.102564102564
"71","Moldova",71,5.529,0.685,1.328,0.739,0.245,0.181,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"72","Libya",72,5.525,1.044,1.303,0.673,0.416,0.133,0.152,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Montenegro",73,5.523,1.051,1.361,0.871,0.197,0.142,0.08,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Tajikistan",74,5.467,0.493,1.098,0.718,0.389,0.23,0.144,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Croatia",75,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2,8850,1095.5,13.25,844,716,38.75,767,TRUE,1629.23416789396,7662.33766233766,6990.52132701422,9682.71334792122,29898.6486486487,74369.7478991597,402272.727272727,11.4718614718615,10.4660347551343,14.4967177242888,44.7635135135135,111.344537815126,602.272727272727
